TradingDate,int_Stkcd,index,Stkcd,open,high,low,close,simple_Stkcd,date,AdjustingFactor,FirstIndustryName,sector,return,max_return,current_drawback,max_place,min_place,max_return_next,upstop_num,downstop_num
20110428,2075,157091,002075.SZ,8.4,8.57,8.13,16.324410333208533,002075,20110428,2.0029951329090223,钢铁,大宗材料,-0.030915576694411362,0.8719999999999999,-0.30341880341880334,45.0,0.0,0.17300613496932504,1.0,0.0
20110428,600116,157897,600116.SH,16.5,16.62,15.5,28.8612671826172,600116,20110428,1.8572244004258174,公用事业,公用,-0.05416920267802805,0.6843946815955213,-0.3543830494391359,9.0,0.0,0.3333333333333335,6.0,0.0
20110428,600297,158055,600297.SH,10.32,10.45,10.0,31.918337046031574,600297,20110428,3.1822868440709446,医药生物,医药,-0.027158098933074748,0.48241206030150763,-0.32000000000000006,30.0,0.0,0.06679960119641071,3.0,0.0
20110428,600735,158421,600735.SH,10.41,10.63,10.11,36.00971783926004,600735,20110428,3.554759905158938,商业贸易,可选消费,-0.030622009569377884,0.568060021436227,-0.30758714969241285,15.0,1.0,0.2665350444225074,2.0,0.0
20110429,600116,160037,600116.SH,15.41,16.13,15.41,29.641301430796048,600116,20110429,1.8572244004258174,公用事业,公用,0.027027027027027195,0.6014637391882902,-0.33693394266722054,8.0,0.0,0.29824561403508754,5.0,0.0
20110504,737,163255,000737.SZ,5.79,5.9,5.62,22.30755299034598,000737,20110504,3.948239467317872,化工,工业,-0.02753872633390697,0.5293005671077504,-0.30160692212608153,28.0,1.0,0.06725663716814156,2.0,0.0
20110504,600537,164663,600537.SH,44.19,44.19,39.78,83.87826612199483,600537,20110504,2.091205836998126,电气设备,工业,-0.09253393665158371,0.6239913932221623,-0.3357071878105333,29.0,2.0,0.04338070306656694,2.0,0.0
20110505,600537,166806,600537.SH,39.11,40.15,38.51,82.41442203609614,600537,20110505,2.091205836998126,电气设备,工业,-0.017452006980802737,0.6239913932221623,-0.347300430606161,28.0,1.0,0.06191321999492527,2.0,0.0
20110506,600537,168951,600537.SH,39.59,41.5,39.37,85.71852725855318,600537,20110506,2.091205836998126,电气设备,工业,0.040091347373762964,0.6239913932221623,-0.3211328254388871,27.0,0.0,0.02098072700658693,2.0,0.0
20110523,2075,191449,002075.SZ,8.3,8.3,7.86,15.783601647323096,002075,20110523,2.0029951329090223,钢铁,大宗材料,-0.051744885679903874,0.8719999999999999,-0.32649572649572645,29.0,0.0,0.14467005076142136,1.0,0.0
20110523,600851,192898,600851.SH,10.69,10.79,9.9,113.71601065626727,600851,20110523,11.34890325910851,综合,工业,-0.07308048103607778,0.4964964964964962,-0.3297658862876254,18.0,0.0,0.07884231536926145,3.0,0.0
20110523,600868,192914,600868.SH,3.71,3.77,3.6,127.57756345760224,600868,20110523,35.34004527911419,公用事业,公用,-0.03217158176943691,0.6415094339622642,-0.3084291187739464,36.0,1.0,0.05263157894736836,0.0,0.0
20110524,697,193317,000697.SZ,15.9,16.32,15.9,60.46529766933732,000697,20110524,3.7720085882306496,有色金属,大宗材料,-0.04241338112305837,0.47724399494311,-0.31407787762088146,28.0,0.0,0.07298814722395508,0.0,0.0
20110524,2075,193606,002075.SZ,7.88,7.88,7.61,15.603332085361284,002075,20110524,2.0029951329090223,钢铁,大宗材料,-0.011421319796954266,0.8719999999999999,-0.3341880341880341,28.0,0.0,0.17843388960205386,1.0,0.0
20110524,600745,194959,600745.SH,8.6,8.6,8.2,20.118306669844664,600745,20110524,2.3640783395822167,房地产,房产,-0.06586169045005486,0.49212121212121196,-0.3086921202274574,26.0,0.0,0.17391304347826098,0.0,0.0
20110525,697,195474,000697.SZ,16.03,16.03,16.03,60.46529766933732,000697,20110525,3.7720085882306496,有色金属,大宗材料,0.0,0.47724399494311,-0.31407787762088146,27.0,0.0,0.07298814722395508,0.0,0.0
20110525,2075,195763,002075.SZ,7.8,7.8,7.5,15.20273305877948,002075,20110525,2.0029951329090223,钢铁,大宗材料,-0.025673940949935803,0.8719999999999999,-0.35128205128205126,27.0,0.0,0.20948616600790526,1.0,0.0
20110525,600180,196640,600180.SH,10.2,10.58,9.66,26.397445490809602,600180,20110525,2.7129954255713877,农林牧渔,必选消费,-0.04326450344149457,0.6204128440366972,-0.3113941967445153,34.0,11.0,0.0,0.0,0.0
20110525,600868,197231,600868.SH,3.66,3.69,3.61,127.93096391039339,600868,20110525,35.34004527911419,公用事业,公用,-0.021621621621621623,0.5770392749244713,-0.30651340996168575,34.0,9.0,0.04972375690607733,0.0,0.0
20110526,2075,197923,002075.SZ,7.61,7.7,7.51,15.042493448146757,002075,20110526,2.0029951329090223,钢铁,大宗材料,-0.010540184453227908,0.8719999999999999,-0.35811965811965807,26.0,0.0,0.22237017310253004,1.0,0.0
20110526,600180,198800,600180.SH,9.61,9.73,9.24,25.068077732279622,600180,20110526,2.7129954255713877,农林牧渔,必选消费,-0.05035971223021585,0.6204128440366972,-0.3460721868365181,33.0,10.0,0.059523809523809534,0.0,0.0
20110526,600217,198832,600217.SH,6.67,6.7,6.45,29.350453803617146,600217,20110526,4.522411988230685,建筑材料,工业,-0.026986506746626615,0.5252854812398042,-0.3058823529411765,30.0,2.0,0.08012326656394442,0.0,0.0
20110526,600868,199391,600868.SH,3.64,3.69,3.55,126.16396164643767,600868,20110526,35.34004527911419,公用事业,公用,-0.013812154696132617,0.5770392749244713,-0.3160919540229885,33.0,8.0,0.06442577030812324,0.0,0.0
20110527,2075,200083,002075.SZ,7.51,7.55,7.24,14.601834518906772,002075,20110527,2.0029951329090223,钢铁,大宗材料,-0.02929427430093212,0.8719999999999999,-0.3769230769230769,25.0,0.0,0.2592592592592593,1.0,0.0
